NumTrees,MaxDepth,LeafSize,RMSE
173,45,1,0.270154092255139
141,45,1,0.289946634344498
95,21,1,0.324113800614072
141,45,1,0.265117578600867
186,44,1,0.271642994607941
173,44,1,0.287846658808782
101,45,1,0.265249075551465
141,40,12,0.652151202940961
100,44,1,0.281322680372872
173,44,1,0.282466316995333
141,46,1,0.270361281836611
173,44,1,0.271850074647334
101,44,1,0.269588433556547
166,45,1,0.28189544600996
197,44,1,0.270021461688994
141,45,1,0.273822258364873
49,46,2,0.355916457976159
95,45,1,0.264139530830735
100,36,1,0.290333929561273
101,45,1,0.289459331108387
101,40,1,0.282687368259385
100,15,1,0.323107765221763
141,45,1,0.269028279407704
197,45,1,0.274086519936426
141,44,1,0.286562747140312
166,45,1,0.283817214134036
166,39,2,0.352685964330801
142,34,2,0.351040981311103
100,33,1,0.285112495123319
197,45,2,0.356861471027785
100,44,1,0.270876282586604
141,45,1,0.292125168461103
100,45,1,0.279594624494796
101,44,1,0.265081326541345
100,45,2,0.342134680098625
101,44,1,0.268162240655989
173,45,1,0.288564542164502
172,45,1,0.265697765315875
141,45,1,0.272856984813495
141,45,1,0.284307328633037
173,45,1,0.282655484413398
100,39,1,0.287193472209465
142,45,2,0.339778615362348
100,46,2,0.339992185841712
100,45,2,0.35824701095896
101,44,2,0.357280179647819
167,44,1,0.266217696055648
101,45,1,0.278179369786738
197,44,2,0.350643638797501
95,45,1,0.278716942730532
101,44,1,0.277517804188849
141,45,1,0.292538208678318
95,45,2,0.353245382636657
141,46,1,0.289152002456362
197,44,2,0.356215912217427
166,45,1,0.279158539407638
141,45,1,0.282263200035697
173,44,1,0.2716675042703
166,45,1,0.282409939948317
173,44,1,0.253349235590979
95,21,1,0.305074918605051
141,33,1,0.274173633283563
141,46,1,0.27878622920373
173,45,1,0.279878961582044
100,15,1,0.318988010761914
167,44,1,0.274604598458519
101,44,1,0.286857131021466
166,39,1,0.282709160509068
101,44,1,0.2708385761615
101,44,1,0.269001191582557
95,45,1,0.277685976799741
101,45,1,0.263217934833267
141,44,1,0.270324207675765
101,45,2,0.370046492804669
172,45,1,0.278445826074193
100,39,1,0.289161693516916
100,44,1,0.268768068496368
141,45,1,0.271055496624696
101,45,1,0.29222810237
167,45,1,0.274625555505864
141,45,1,0.274402852175905
141,40,12,0.647127105775672
100,46,2,0.343941838363619
173,44,1,0.26475026390089
95,36,1,0.270140321090881
