NumTrees,MaxDepth,LeafSize,RMSE
53,46,12,69.6594131317898
100,31,3,42.6650233632835
184,38,7,59.5175404596518
100,31,4,48.721801150186
163,6,16,72.619034087175
39,8,5,50.0445981450653
67,27,5,51.7191306980335
34,16,5,55.3824795857054
164,30,3,42.9563940615752
100,15,1,27.1977512724437
34,12,9,66.6453747205184
159,42,19,74.4932468005465
81,46,11,66.2362640138719
61,23,5,52.6962693584721
117,11,17,72.9106352746902
176,13,5,52.3957626911324
193,15,1,30.7155941191307
88,31,9,62.3827094426269
88,31,7,59.6661749563082
93,33,20,74.2404489436949
62,23,6,57.3116659423465
35,13,19,75.5326200816637
44,24,8,63.48417342095
188,28,11,66.8186428854068
164,34,4,49.2481026703417
68,28,9,65.1976318166135
100,15,1,31.2969852328693
193,15,1,28.8990851293192
100,15,1,33.0430184831801
100,15,12,68.2294318876666
100,38,1,29.2206702669511
39,15,7,66.0985120574546
193,15,1,30.3568108852295
164,31,5,50.4618756167838
176,13,9,62.5317867051543
88,13,19,74.8617777779477
50,48,1,26.8247174383467
100,34,1,25.4369228946817
164,30,6,54.9344114774948
188,38,7,60.0474936912454
100,15,5,52.4470092408327
34,23,5,53.6326175123328
100,31,4,50.3681148921175
39,31,4,50.7488082380327
98,15,6,57.5011570308309
100,9,19,75.0729629051155
100,15,11,65.4408692162886
144,28,18,74.3391692528049
44,33,19,73.6337620674435
100,31,4,50.1010705492008
164,30,3,43.9578861615781
100,43,13,68.5258294686339
30,43,5,52.6950098763216
100,15,3,41.7796747638601
100,31,3,41.1081146154416
30,21,16,72.8312459707193
176,13,5,52.4033218333948
100,16,5,55.0216447275076
30,34,3,41.553530729801
164,8,6,55.6639032735258
30,43,3,48.0408822503173
199,47,1,29.8363881942467
34,43,5,54.0643966961834
67,31,9,64.0391760800364
67,31,3,43.7212556644592
39,27,11,67.0891928148768
193,15,17,73.278471830929
44,24,7,60.9286463976515
100,15,2,35.8394028660933
93,32,20,75.5477700809679
163,7,17,74.0519127789322
31,44,4,50.1922709682961
164,35,4,48.0906692050429
158,42,20,75.0555523938683
47,14,12,66.5949479845299
46,14,11,65.7723085862859
100,34,1,23.053301292599
50,48,1,25.7538486024136
193,15,1,32.5732537663804
30,30,3,43.0866426659362
100,31,1,28.153193614334
