NumTrees,MaxDepth,LeafSize,RMSE
141,42,1,0.051442783295653
164,42,1,0.0539581226775369
143,30,1,0.0522054173095881
141,41,1,0.0544625082122469
85,28,1,0.0493448734136567
143,42,1,0.0539753753803503
85,31,1,0.0492250657388643
143,43,1,0.0538212391089429
143,42,1,0.0531011722958753
143,34,1,0.0511112668493219
141,39,1,0.0519019095452568
100,30,1,0.0549467443307976
100,31,1,0.0515415128310714
100,41,1,0.057468825988813
100,33,1,0.0528290272397523
143,43,1,0.0556019588615196
142,42,1,0.0525203356291263
70,43,1,0.052673595486739
143,30,1,0.0544567138577668
141,41,1,0.0540123807884117
164,31,1,0.051173908382685
141,43,4,0.0875932059498197
144,42,1,0.0562454138081678
143,43,1,0.054163075185653
164,43,1,0.0511432576615829
100,43,1,0.0537453390225432
57,30,2,0.0684200304635466
58,32,2,0.0694453936190068
143,43,1,0.052424420036249
141,41,1,0.0571827085039697
84,42,1,0.052262558978706
143,42,1,0.0518113174536603
141,43,1,0.0523712889849192
143,42,1,0.0554725602253728
144,43,1,0.050962051172709
140,41,2,0.0663661369947824
99,34,3,0.0794939890057566
85,31,2,0.0680752383673238
157,8,1,0.0716035332203821
141,42,2,0.0692069313323462
84,43,1,0.0480183951932869
140,43,1,0.0538300712688083
143,43,1,0.0541232653812908
84,43,1,0.0507290787140383
85,31,1,0.0576183386904071
85,28,1,0.053945421509682
84,43,1,0.0518618246511775
85,31,1,0.0535147101086202
84,41,1,0.0554249766514124
144,25,1,0.0508316842532156
143,43,1,0.0504734034425905
85,31,2,0.067111599270344
85,28,1,0.0550995950812704
57,43,2,0.0731892453583587
164,42,1,0.0516726470896737
141,39,1,0.0528484178594325
141,42,1,0.052815044117148
85,34,1,0.0506417022674052
85,42,1,0.0518980797222902
142,30,1,0.0543775259481051
100,43,1,0.0541036557958271
143,42,1,0.0536689206609782
100,42,1,0.0505042252386132
85,31,1,0.0527910581973468
100,41,1,0.0561942145592962
140,41,2,0.0676367007508586
143,31,1,0.0510143201317133
164,32,2,0.0661075589130208
84,43,1,0.0527285265244432
143,25,1,0.0542179589759338
84,43,1,0.0573729011111267
144,42,1,0.0546371950423367
142,30,1,0.050614649469805
143,34,1,0.0513749769276801
70,28,1,0.0536021182200272
143,43,1,0.0538766797480405
142,30,1,0.0522518292537024
85,43,1,0.0502232771430578
100,33,1,0.0548259791979136
141,41,1,0.0514656182697954
99,34,1,0.0548856765218048
143,42,1,0.053384615074733
84,43,1,0.0528893003003341
141,43,1,0.0532782449488886
141,43,2,0.0677382213372084
85,31,2,0.0673880246456341
164,30,2,0.068855214951937
143,42,1,0.0534088447207766
163,31,1,0.0561024593958323
143,42,1,0.0540874586200577
100,30,1,0.053818371535954
140,44,1,0.0503771499490871
144,42,1,0.0538132163048662
85,43,1,0.055544596782793
140,44,1,0.0530766574349741
143,43,1,0.0487196125518019
141,28,1,0.0521880356825246
143,41,1,0.0522001900858968
85,31,1,0.0573605906373857
143,42,1,0.0524107774250624
85,25,1,0.0550992322589266
85,30,1,0.0530457709298874
85,34,1,0.0551007022578726
142,44,1,0.0521663991985641
100,42,1,0.0518692508858178
164,43,1,0.0527565683775523
143,42,1,0.053676482980643
85,31,1,0.0541214340506486
140,44,1,0.0481504534141824
143,43,1,0.0508252071464317
85,30,1,0.0500780819157787
57,43,2,0.0697410595779017
85,33,1,0.0538330049692691
143,42,1,0.0519828554738365
85,42,1,0.0539520670946363
141,43,1,0.0490844888837163
85,34,1,0.054283362213627
144,25,1,0.0537937218073828
141,39,1,0.0528179348745105
84,43,1,0.0510166689909861
84,31,1,0.05276800647063
140,44,1,0.0489824908929658
84,28,1,0.0561128349996251
84,43,1,0.0526556485061627
85,43,1,0.0529131979873406
142,31,1,0.0558567031719313
140,43,1,0.0531040938921462
163,44,1,0.0533349751601563
100,31,1,0.0549997401079138
100,41,1,0.0537513569614239
84,43,1,0.0519301458791738
85,28,1,0.0539421271962556
144,34,1,0.0520256395755455
140,44,1,0.0546379012581119
143,42,1,0.0514839132578904
143,34,1,0.0538184862359841
143,30,1,0.052028693155778
141,43,1,0.0519288138832878
142,29,2,0.0670183795243517
164,32,2,0.0666625976574226
100,43,2,0.0683531982078054
164,43,2,0.067994658628413
141,39,1,0.0533733614346496
140,44,1,0.0524071333329978
143,43,1,0.0540883053540244
140,44,1,0.0549135082054356
85,33,1,0.0553893665764785
85,43,1,0.0528882434030507
85,41,1,0.0551425155089324
143,42,1,0.0540450076392706
85,30,1,0.055144227538763
85,30,1,0.0530819372132872
143,44,1,0.0516214173259744
143,30,1,0.0521433132057233
140,42,1,0.0515876872516106
141,31,1,0.052989334070351
140,44,1,0.0536342050173249
100,41,1,0.0499484246130753
141,28,1,0.0498570487215768
143,44,1,0.0529797716333802
85,42,1,0.0531059956814493
144,34,1,0.051242131759233
164,43,1,0.0509827859545216
144,34,1,0.0531147945480625
100,34,1,0.0532435387949241
85,41,1,0.050396798815229
164,43,1,0.0525399489173091
143,42,1,0.0526097161484582
84,43,1,0.0534333092666219
84,28,1,0.0562120511503533
143,42,1,0.0513229704436724
140,44,1,0.0507086865212458
164,32,1,0.0517919473445215
84,43,1,0.0517538167396943
140,43,1,0.0562747778231914
142,42,1,0.0508930006244915
141,44,1,0.0522537645752705
85,43,1,0.0528184245110098
84,43,1,0.0539595935682671
85,43,1,0.0509559897278958
142,44,1,0.0503998489219434
85,43,1,0.0518696405954773
84,31,1,0.0556079368116624
141,44,1,0.0549456676239774
140,45,1,0.0528594283744876
142,43,1,0.0486365337923781
141,45,2,0.067397791800336
100,43,3,0.0785593683668229
163,43,2,0.0679382810883902
139,44,2,0.0686155165658574
143,41,1,0.0527019977960523
84,35,1,0.0521863063459607
144,30,1,0.050082779732819
